slug,template,chapter_number,text_title,text_intro,text_subheading,text_bodycopy,image,video
pg011,video-full,,Ceratotherium simum,,Muller's Starviolet,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",/media/img/img-bg03.jpg,/media/mp4/bg01.mp4
pg012,text-bg-media,,Actophilornis africanus,,Ragged Lichen,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",/media/img/img-bg04.jpg,/media/mp4/bg02.mp4
pg013,chapter-title,Chapter 3,Sciurus niger,,Virginia Marsh St. Johnswort,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",/media/img/img-bg01.jpg,/media/mp4/bg03.mp4
pg014,text-media-split,,Macropus agilis,,Ausubon,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,/media/img/img-bg02.jpg,/media/mp4/bg04.mp4
pg015,text-media-split,,unavailable,,Northern Dewberry,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",/media/img/img-bg03.jpg,/media/mp4/bg05.mp4
pg016,text-media-split,,Coendou prehensilis,,High Mountain Penstemon,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",/media/img/img-bg04.jpg,/media/mp4/test01.mp4
pg017,video-full,,Tachyglossus aculeatus,,Compact Brome,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",/media/img/img-bg01.jpg,/media/mp4/test02.mp4
pg018,text-bg-media,,Iguana iguana,,Miner's Lettuce,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",/media/img/img-bg02.jpg,/media/mp4/test03.mp4
pg019,text-media-split,,Bubo virginianus,,Australian Joint-vetch,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",/media/img/img-bg03.jpg,/media/mp4/test04.mp4
pg020,text-media-split,,Trichoglossus haematodus moluccanus,,Staggerweed,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",/media/img/img-bg04.jpg,/media/mp4/test05.mp4
pg021,chapter-title,Chapter 4,Phoeniconaias minor,,Camas,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",/media/img/img-bg01.jpg,/media/mp4/bg01.mp4
pg022,text-media-split,,Struthio camelus,,Arizona Spikemoss,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",/media/img/img-bg02.jpg,/media/mp4/bg02.mp4
pg023,text-media-split,,Phoeniconaias minor,,Manchurian Ash,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",/media/img/img-bg03.jpg,/media/mp4/bg03.mp4
pg024,chapter-title,Chapter 5,Ploceus rubiginosus,,Orcutt's Bristleweed,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",/media/img/img-bg04.jpg,/media/mp4/bg04.mp4
pg025,text-media-split,,Bison bison,,Threadleaf Horsebrush,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,/media/img/img-bg01.jpg,/media/mp4/bg05.mp4
pg026,chapter-title,Chapter 6,Nycticorax nycticorax,,Sedge,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,/media/img/img-bg02.jpg,/media/mp4/test01.mp4
pg027,text-media-split,,Bubulcus ibis,,Western Cliff Fern,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",/media/img/img-bg03.jpg,/media/mp4/test02.mp4
pg028,text-image,,Agkistrodon piscivorus,,Hillebrand's Flatsedge,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",/media/img/img-bg04.jpg,/media/mp4/test03.mp4
pg029,text-video,,Gyps bengalensis,,Payson's Sedge,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",/media/img/img-bg01.jpg,/media/mp4/test04.mp4
pg030,video-full,,Francolinus coqui,,Guadeloupe Tonguefern,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,/media/img/img-bg02.jpg,/media/mp4/test05.mp4
